model,method,fold,n,ast_failure,tokenizer_error,ast_failure_no_import_complete_tokenization,mapping_known,mapping_correct,label_known,label_agree,unknown_answers,known_valid_packages,known_hall_packages,unknown_package_slots,archived_sample_hr,archived_package_hr,archived_valid_rate,audited_sample_hr_lower,audited_sample_hr_upper,audited_sample_hr_tokenizer_scenario_upper,audited_package_hr_one_slot_min,audited_package_hr_one_slot_max,audited_valid_rate_lower,audited_valid_rate_upper,audited_valid_rate_tokenizer_scenario_upper
qwen3,MEMIT,C,500,24,4,3,290,200,275,190,225,467,3,392,0.38,0.28846153846153844,0.52,0.006,0.484,0.462,0.0034802784222737818,0.4582366589327146,0.59,0.862,0.856
qwen3,MEMIT,D,500,19,3,1,291,205,275,195,225,475,1,326,0.356,0.28355957767722473,0.518,0.002,0.48,0.454,0.0012468827930174563,0.4077306733167082,0.586,0.856,0.854
qwen3,DINM,A,500,37,8,0,289,208,275,198,225,482,3,326,0.354,0.27165932452276065,0.522,0.006,0.5,0.464,0.0036991368680641184,0.40567200986436497,0.586,0.844,0.844
qwen3,DINM,B,500,156,93,50,333,289,325,282,175,320,0,254,0.236,0.26021505376344084,0.38,0.0,0.618,0.508,0.0,0.4425087108013937,0.408,0.86,0.76
qwen3,DINM,C,500,27,3,3,297,215,286,205,214,501,2,320,0.35,0.2636103151862464,0.526,0.004,0.464,0.436,0.002430133657351154,0.39125151883353587,0.602,0.84,0.834
qwen3,DINM,D,500,21,5,1,299,206,285,196,215,471,0,337,0.352,0.27719821162444114,0.5,0.0,0.448,0.436,0.0,0.41707920792079206,0.566,0.82,0.818
qwen3,Full-FT,A,500,81,2,22,412,396,411,395,89,363,0,168,0.082,0.11064718162839249,0.374,0.0,0.28,0.182,0.0,0.3163841807909605,0.336,0.472,0.428
qwen3,Full-FT,B,500,32,3,16,473,465,471,464,29,178,0,41,0.032,0.07407407407407407,0.14,0.0,0.116,0.062,0.0,0.1872146118721461,0.142,0.182,0.15
qwen3,Full-FT,C,500,74,1,17,420,400,414,395,86,283,0,111,0.1,0.14882506527415143,0.274,0.0,0.286,0.174,0.0,0.2817258883248731,0.264,0.382,0.348
qwen3,Full-FT,D,500,107,9,6,360,342,355,339,145,627,0,237,0.158,0.10411311053984576,0.492,0.0,0.43,0.308,0.0,0.2743055555555556,0.486,0.604,0.592
llama3.1,Base,A,500,45,4,3,294,174,290,170,210,603,7,342,0.338,0.24246079613992763,0.694,0.014,0.504,0.442,0.007352941176470588,0.36659663865546216,0.666,0.908,0.902
llama3.1,BOUND,A,500,48,7,6,321,210,321,210,179,623,1,377,0.278,0.19548022598870057,0.708,0.002,0.438,0.372,0.000999000999000999,0.3776223776223776,0.708,0.88,0.868
llama3.1,BOUND,B,500,72,10,12,311,204,309,202,191,709,1,543,0.31,0.19314641744548286,0.724,0.002,0.488,0.402,0.0007980845969672786,0.43415802075019955,0.716,0.884,0.86
llama3.1,BOUND,C,500,38,6,1,276,170,273,167,227,623,8,441,0.358,0.24426605504587157,0.7,0.016,0.526,0.474,0.007462686567164179,0.41884328358208955,0.676,0.9,0.898
llama3.1,BOUND,D,500,44,5,6,320,211,319,211,181,612,3,352,0.288,0.1952941176470588,0.734,0.006,0.424,0.368,0.0031023784901758012,0.3671147880041365,0.7,0.884,0.872
llama3.1,ROME,A,500,500,500,0,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,1.0,1.0,0,0,0.0,1.0,1.0
llama3.1,ROME,B,500,500,6,494,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,1.0,0.012,0,0,0.0,1.0,0.012
llama3.1,ROME,C,500,500,460,40,499,499,499,499,1,0,0,1,0.0,0,0.0,0.0,1.0,0.92,0.0,1.0,0.0,1.0,0.92
llama3.1,ROME,D,500,500,451,49,500,500,500,500,0,0,0,0,0.0,0,0.0,0.0,1.0,0.902,0,0,0.0,1.0,0.902
