condition,repair_calls,registry_network_calls,latency_mean_seconds,latency_p50_seconds,latency_p95_seconds
base,74,0,2.918083967502556,2.969164252281189,3.4668206153437495
bound_fold_A,19,0,3.1295573312397065,3.047456655651331,3.3741749711334705
