model,fold,n_prompts,baseline_sample_hallucination_rate,edited_sample_hallucination_rate,baseline_package_hallucination_rate,edited_package_hallucination_rate,baseline_sample_valid_rate,edited_sample_valid_rate,base_no_package,bound_no_package
deepseekcoder,A,1500,0.10426666666666667,0.059066666666666816,0.058660450673588334,0.028456380774150327,0.8242666666666666,0.715466666666665,0.06146666666666667,0.2476
deepseekcoder,B,1500,0.10426666666666667,0.10626666666666665,0.058660450673588334,0.05202913746146184,0.8242666666666666,0.8521333333333326,0.06146666666666667,0.08253333333333333
deepseekcoder,C,1500,0.10426666666666667,0.08613333333333353,0.058660450673588334,0.03497592712615507,0.8242666666666666,0.8465333333333326,0.06146666666666667,0.09026666666666666
deepseekcoder,D,1500,0.10426666666666667,0.15879999999999994,0.058660450673588334,0.062291409861191825,0.8242666666666666,0.906,0.06146666666666667,0.048666666666666664
qwen3,A,1500,0.06240000000000006,0.023599999999999986,0.031488449621182156,0.013874316699903355,0.7069333333333332,0.7919999999999994,0.21613333333333334,0.1412
qwen3,B,1500,0.06240000000000006,0.017199999999999976,0.031488449621182156,0.011098734315121633,0.7069333333333332,0.4921333333333329,0.21613333333333334,0.49266666666666664
qwen3,C,1500,0.06240000000000006,0.038000000000000006,0.031488449621182156,0.02016279576947531,0.7069333333333332,0.6407999999999994,0.21613333333333334,0.32506666666666667
qwen3,D,1500,0.06240000000000006,0.040533333333333366,0.031488449621182156,0.020630909197165655,0.7069333333333332,0.7261333333333332,0.21613333333333334,0.2472
llama31,A,1500,0.18013333333333287,0.1154666666666665,0.0936752538468055,0.06028302246357373,0.8446666666666653,0.7455999999999995,0.048666666666666664,0.12613333333333332
llama31,B,1500,0.18013333333333287,0.18559999999999907,0.0936752538468055,0.09915243684813121,0.8446666666666653,0.6947999999999995,0.048666666666666664,0.2558666666666667
llama31,C,1500,0.18013333333333287,0.1562666666666663,0.0936752538468055,0.07296041239090927,0.8446666666666653,0.8999999999999997,0.048666666666666664,0.011733333333333333
llama31,D,1500,0.18013333333333287,0.1379999999999995,0.0936752538468055,0.05862518602438427,0.8446666666666653,0.8907999999999989,0.048666666666666664,0.0212
