condition,n_prompts,n_generations,sample_hr,package_hr,empty_rate,avg_packages
base,100,500,0.088,0.04851752021563342,0.032,2.634
bound_A,100,500,0.09,0.06679960119641076,0.076,2.37
bound_B,100,500,0.156,0.11282843894899536,0.228,2.8
bound_C,100,500,0.118,0.06364428945074106,0.012,2.634
bound_D,100,500,0.088,0.04357976653696498,0.022,2.924
