model,prompt_id,n,sample_hr,stratum
DeepSeekCoder,2794,5,0.2,low_or_moderate
DeepSeekCoder,2817,5,0.0,clean
DeepSeekCoder,2822,5,0.0,clean
DeepSeekCoder,2852,5,0.0,clean
DeepSeekCoder,2868,5,0.0,clean
DeepSeekCoder,2876,5,0.8,high
DeepSeekCoder,2893,5,0.0,clean
DeepSeekCoder,2957,5,0.0,clean
DeepSeekCoder,2983,5,0.0,clean
DeepSeekCoder,3016,5,0.0,clean
DeepSeekCoder,3063,5,1.0,high
DeepSeekCoder,3096,5,0.0,clean
DeepSeekCoder,3166,5,0.8,high
DeepSeekCoder,3191,5,1.0,high
DeepSeekCoder,3252,5,1.0,high
DeepSeekCoder,3303,5,0.0,clean
DeepSeekCoder,3362,5,0.0,clean
DeepSeekCoder,3387,5,0.0,clean
DeepSeekCoder,3404,5,0.2,low_or_moderate
DeepSeekCoder,3411,5,0.0,clean
DeepSeekCoder,3447,5,0.0,clean
DeepSeekCoder,3477,5,0.2,low_or_moderate
DeepSeekCoder,3549,5,0.0,clean
DeepSeekCoder,3572,5,0.0,clean
DeepSeekCoder,3593,5,1.0,high
DeepSeekCoder,3597,5,0.0,clean
DeepSeekCoder,3622,5,0.0,clean
DeepSeekCoder,3650,5,0.0,clean
DeepSeekCoder,3674,5,0.0,clean
DeepSeekCoder,3709,5,0.0,clean
DeepSeekCoder,3716,5,0.2,low_or_moderate
DeepSeekCoder,3722,5,0.4,low_or_moderate
DeepSeekCoder,3741,5,0.0,clean
DeepSeekCoder,3788,5,0.2,low_or_moderate
DeepSeekCoder,3801,5,0.4,low_or_moderate
DeepSeekCoder,3811,5,0.0,clean
DeepSeekCoder,3818,5,0.0,clean
DeepSeekCoder,3823,5,0.0,clean
DeepSeekCoder,3884,5,0.0,clean
DeepSeekCoder,3911,5,0.0,clean
DeepSeekCoder,3917,5,0.0,clean
DeepSeekCoder,3971,5,0.0,clean
DeepSeekCoder,3988,5,0.0,clean
DeepSeekCoder,4016,5,0.8,high
DeepSeekCoder,4033,5,0.0,clean
DeepSeekCoder,4077,5,0.0,clean
DeepSeekCoder,4085,5,0.0,clean
DeepSeekCoder,4127,5,0.4,low_or_moderate
DeepSeekCoder,4141,5,0.6,high
DeepSeekCoder,4157,5,0.0,clean
DeepSeekCoder,4165,5,0.0,clean
DeepSeekCoder,4178,5,0.0,clean
DeepSeekCoder,4205,5,0.0,clean
DeepSeekCoder,4220,5,0.0,clean
DeepSeekCoder,4224,5,0.0,clean
DeepSeekCoder,4265,5,0.0,clean
DeepSeekCoder,4287,5,0.0,clean
DeepSeekCoder,4323,5,0.0,clean
DeepSeekCoder,4337,5,0.2,low_or_moderate
DeepSeekCoder,4371,5,0.0,clean
DeepSeekCoder,4382,5,0.0,clean
DeepSeekCoder,4388,5,0.4,low_or_moderate
DeepSeekCoder,4472,5,0.0,clean
DeepSeekCoder,4475,5,0.0,clean
DeepSeekCoder,4524,5,0.4,low_or_moderate
DeepSeekCoder,4535,5,0.2,low_or_moderate
DeepSeekCoder,4544,5,0.0,clean
DeepSeekCoder,4555,5,0.2,low_or_moderate
DeepSeekCoder,4627,5,0.0,clean
DeepSeekCoder,4629,5,0.4,low_or_moderate
DeepSeekCoder,4652,5,0.0,clean
DeepSeekCoder,4690,5,0.0,clean
DeepSeekCoder,4696,5,0.0,clean
DeepSeekCoder,4721,5,0.0,clean
DeepSeekCoder,4765,5,0.0,clean
DeepSeekCoder,4808,5,0.0,clean
DeepSeekCoder,4849,5,0.0,clean
Qwen3,44,5,0.0,clean
Qwen3,68,5,0.0,clean
Qwen3,69,5,0.0,clean
Qwen3,79,5,0.0,clean
Qwen3,95,5,0.0,clean
Qwen3,107,5,0.0,clean
Qwen3,119,5,0.0,clean
Qwen3,153,5,0.0,clean
Qwen3,160,5,0.0,clean
Qwen3,162,5,0.0,clean
Qwen3,176,5,0.0,clean
Qwen3,188,5,0.0,clean
Qwen3,195,5,0.0,clean
Qwen3,222,5,0.0,clean
Qwen3,247,5,0.0,clean
Qwen3,253,5,0.6,high
Qwen3,290,5,0.0,clean
Qwen3,296,5,0.0,clean
Qwen3,352,5,0.0,clean
Qwen3,360,5,0.0,clean
Qwen3,392,5,0.0,clean
Qwen3,424,5,0.0,clean
Qwen3,428,5,0.0,clean
Qwen3,495,5,0.0,clean
Qwen3,498,5,0.0,clean
Qwen3,520,5,0.0,clean
Qwen3,527,5,0.0,clean
Qwen3,554,5,0.0,clean
Qwen3,565,5,0.0,clean
Qwen3,600,5,0.0,clean
Qwen3,606,5,0.0,clean
Qwen3,611,5,0.0,clean
Qwen3,619,5,0.0,clean
Qwen3,679,5,0.0,clean
Qwen3,722,5,0.0,clean
Qwen3,728,5,0.0,clean
Qwen3,758,5,0.0,clean
