condition,n_prompts,n_generations,sample_hr,package_hr,empty_rate,avg_packages
base,100,500,0.03,0.01609657947686117,0.06,2.502
bound_A,100,500,0.034,0.02430939226519337,0.272,1.896
bound_B,100,500,0.06,0.02857142857142857,0.102,2.326
bound_C,100,500,0.03,0.013876843018213356,0.084,2.656
bound_D,100,500,0.106,0.048513302034428794,0.05,2.734
